App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
AF-STROKE,MEDICAL,nan,5,,100+,Paid,$5.00,,Medical,"December 19, 2013",1.3,2.1 and up,
Michael's AG Sound Board,FAMILY,nan,0,,1+,Paid,$0.99,,Entertainment,"December 12, 2017",1.1,1.6 and up,
Message AI - Write Better Messages,TOOLS,nan,0,,100+,Paid,$2.99,,Tools,"July 4, 2018",1.3.1,5.0 and up,
AJ Turquoise Dark Icon Pack,PERSONALIZATION,nan,0,,10+,Paid,$0.99,,Personalization,"May 1, 2018",1.1,4.1 and up,
AJ Orange Icon Pack,PERSONALIZATION,nan,0,,10+,Paid,$0.99,,Personalization,"May 2, 2018",1.1,4.1 and up,
Ak Parti Yardım Toplama,SOCIAL,nan,0,,0+,Paid,$13.99,,Social,"July 28, 2017",3.4.4.3.3,4.1 and up,
Gravidez ao Vivo,MEDICAL,nan,61,,"1,000+",Paid,$2.99,,Medical,"March 11, 2014",1.5,2.2 and up,
Glanceable Ap Watch Face,PERSONALIZATION,nan,0,,5+,Paid,$0.99,,Personalization,"August 14, 2016",1.0.103,4.4 and up,
AP Series Solution Pro,FAMILY,nan,0,,0+,Paid,$1.99,,Education,"July 30, 2017",1.3,4.0 and up,
AQ Math Facts,FAMILY,nan,1,,1+,Paid,$2.99,,Educational,"May 17, 2017",1.0.3,4.0 and up,
AW Toolbox,BUSINESS,nan,3,,100+,Paid,$19.90,,Business,"December 22, 2016",1.6.2,4.0 and up,
Analog and Digital Clock AW-7PRO,TOOLS,nan,4,,100+,Paid,$1.99,,Tools,"March 15, 2018",2.0,4.3 and up,
INTERACTIVE CALCULUS PRO,FAMILY,nan,0,,10+,Paid,$0.99,,Education,"February 22, 2018",1.2,4.0.3 and up,
AX Watch for WatchMaker,PERSONALIZATION,nan,2,,1+,Paid,$0.99,,Personalization,"August 18, 2017",1.0,2.3 and up,
¡Ay Caramba!,FAMILY,nan,0,,1+,Paid,$1.99,,Education,"June 13, 2014",1.2,3.0 and up,
Ay Yıldız - Xperia Live Theme,PERSONALIZATION,nan,0,,10+,Paid,$0.99,,Personalization,"December 26, 2017",1.0.0,4.4 and up,
YAKALA AY,GAME,nan,0,,1+,Paid,$0.99,,Arcade,"July 7, 2018",1.0,4.1 and up,
Alif Ba Ta Bullseye,FAMILY,nan,1,,5+,Paid,$1.99,,Educational,"May 30, 2016",1.1,2.2 and up,
Learn Quran with Elif Ba,FAMILY,nan,3,,100+,Paid,$1.49,,Education,"March 3, 2017",1.2,2.3 and up,
PROFESSOR SEE-BA LINGUAGENS E SUAS TECNOLOGIAS,PRODUCTIVITY,nan,0,,10+,Paid,$2.99,,Productivity,"December 1, 2017",1.0,4.0 and up,
Ain Arabic Kids Alif Ba ta,FAMILY,nan,0,,0+,Paid,$2.99,,Education,"April 15, 2016",1.0,3.0 and up,
Car Driving Theory Test BC,FAMILY,nan,0,,10+,Paid,$1.49,,Education,"April 9, 2012",1.0,2.1 and up,
Es-Bg Offline Voice Translator,TRAVEL_AND_LOCAL,nan,1,,10+,Paid,$1.49,,Travel & Local,"March 19, 2017",2.55,3.0 and up,
Bi-Tank Ads Free,GAME,nan,0,,1+,Paid,$0.99,,Arcade,"July 31, 2017",1.1,4.1 and up,
BI Barcode Scanner,PRODUCTIVITY,nan,0,,10+,Paid,$0.99,,Productivity,"June 13, 2014",2.2,2.2 and up,
SLANGY-Perfect BK World Theme,PERSONALIZATION,nan,1,,50+,Paid,$4.85,,Personalization,"September 11, 2013",1.0,2.2 and up,
Bk Bee Sales Manager,BUSINESS,nan,0,,5+,Paid,$0.99,,Business,"December 16, 2017",1.0,4.1 and up,
BL 1-Click Camera,PHOTOGRAPHY,nan,4,,100+,Paid,$3.99,,Photography,"August 18, 2016",2.0.160818,2.3 and up,
BL File Explorer,TOOLS,nan,1,,50+,Paid,$1.99,,Tools,"July 18, 2014",1.5.140718,1.5 and up,
Sam.BN Pro,TOOLS,nan,11,,10+,Paid,$0.99,,Tools,"March 27, 2015",1.0.0,4.0.3 and up,
Sic Bo,GAME,nan,1,,100+,Paid,$1.99,,Card,"August 27, 2013",1.0.0,2.2 and up,
Dr.Dice - Sic bo analyzer,FAMILY,nan,2,,10+,Paid,$46.99,,Entertainment,"November 5, 2016",1.0,4.0.3 and up,
Bo's Matching Game,FAMILY,nan,3,,"1,000+",Paid,$0.99,,Education;Brain Games,"December 28, 2017",1.4,4.0.3 and up,
Socle Commun BO du 23-04-2015,LIBRARIES_AND_DEMO,nan,4,,100+,Paid,$0.99,,Libraries & Demo,"August 8, 2016",0.0.1,4.1 and up,
Monitor My BP,HEALTH_AND_FITNESS,nan,0,,50+,Paid,$5.99,,Health & Fitness,"November 26, 2016",2.0.1,4.0 and up,
BP Fitness Lead Scanner,EVENTS,nan,0,,1+,Paid,$109.99,,Events,"August 23, 2017",0.0.1,4.1 and up,
cronometra-br,PRODUCTIVITY,nan,0,,0+,Paid,$154.99,,Productivity,"November 24, 2017",1.0.0,4.1 and up,
BS Match Maker Premium,TOOLS,nan,3,,10+,Paid,$0.99,,Tools,"July 10, 2018",1.11.2,5.0 and up,
BS Detector - Diss 'n' Gauges,FAMILY,nan,0,,50+,Paid,$1.49,,Entertainment,"February 22, 2013",1.3,2.2 and up,
BT Speed,SPORTS,nan,3,,10+,Paid,$4.80,,Sports,"May 21, 2015",1.0.1,4.0.3 and up,
USB BT Wi-Fi Color Terminal Modem,TOOLS,nan,0,,5+,Paid,$8.99,,Tools,"February 9, 2018",5.3,3.2 and up,
Билеты ПДД CD 2019 PRO,AUTO_AND_VEHICLES,nan,21,,100+,Paid,$1.49,,Auto & Vehicles,"July 27, 2018",1.49,4.0 and up,
AC CE BJT Actorial,FAMILY,nan,1,,50+,Paid,$2.00,,Education,"September 27, 2015",2.4,1.6 and up,
CE Genius Nurses Edition,MEDICAL,nan,0,,1+,Paid,$3.99,,Medical,"June 1, 2018",1.5,4.0.3 and up,
"Führerschein Klasse CE, LKW 2018",FAMILY,nan,57,,"1,000+",Paid,$2.49,,Education,"April 9, 2018",4.2.0,Varies with device,
Squeezy CF,MEDICAL,nan,0,,10+,Paid,$2.99,,Medical,"April 26, 2017",1.2.11,4.0 and up,
Weather Data CH,WEATHER,nan,15,,500+,Paid,$2.99,,Weather,"August 9, 2016",Varies with device,Varies with device,
Dive-Store.ch,SPORTS,nan,0,,5+,Paid,$1.99,,Sports,"July 25, 2018",2.0.4,4.0 and up,
"Reading Race 1b: sh, ch words",FAMILY,nan,2,,50+,Paid,$3.99,,Educational;Education,"January 8, 2016",1.01,4.0 and up,
Speech Therapy: CH,FAMILY,nan,0,,10+,Paid,$1.99,,Education,"October 8, 2016",1.0,2.3.3 and up,
ch-mm Dict,BOOKS_AND_REFERENCE,nan,0,,10+,Paid,$1.96,,Books & Reference,"July 18, 2014",1.0,2.3 and up,
All-night drugstore CI & Price,HEALTH_AND_FITNESS,nan,0,,10+,Paid,$0.99,,Health & Fitness,"November 27, 2017",3.0.2.0,1.6 and up,
CI Attendance,PRODUCTIVITY,nan,0,,5+,Paid,$0.99,,Productivity,"August 17, 2013",1.0.0,3.1 and up,
FREE CHATS C.L.,COMMUNICATION,nan,4,,10+,Paid,$0.99,,Communication,"February 12, 2018",11,4.0.3 and up,
Wuwu & Co.,FAMILY,nan,9,,100+,Paid,$2.99,,Books & Reference;Creativity,"March 22, 2017",2.49,4.1 and up,
UFO-CQ,TOOLS,nan,1,,10+,Paid,$0.99,,Tools,"July 4, 2016",NaN,2.0 and up,
25WPM Amateur ham radio Koch CW Morse code trainer,TOOLS,nan,0,,10+,Paid,$1.49,,Tools,"May 18, 2018",2.0.3,2.1 and up,
Servidor Privado CR y CoC - Royale Servers PRO,TOOLS,nan,55,,100+,Paid,$1.99,,Tools,"December 24, 2017",1.0.3,2.3 and up,
CS go bomb simulator,FAMILY,nan,7,,10+,Paid,$0.99,,Casual,"May 21, 2018",1.01,4.1 and up,
Emergency Brain CT,MEDICAL,nan,2,,10+,Paid,$0.99,,Medical,"April 17, 2018",1.0.0,4.1 and up,
Abdominal CT Sectional Walker,MEDICAL,nan,2,,100+,Paid,$9.99,,Medical,"July 8, 2016",1.1,4.0 and up,
CT and XR Dose Calculator,MEDICAL,nan,3,,50+,Paid,$0.99,,Medical,"January 22, 2014",2014.01,1.6 and up,
Chest CT Sectional Walker,MEDICAL,nan,2,,100+,Paid,$9.99,,Medical,"July 9, 2016",1.1,4.0 and up,
CW Ringtone (Morse Code generator),COMMUNICATION,nan,0,,10+,Paid,$2.49,,Communication,"March 16, 2018",1.0.2,2.2 and up,
Learn CW,FAMILY,nan,0,,1+,Paid,$2.49,,Education,"April 6, 2018",1.1,4.3 and up,
CZ-70 (CZ-50) pistol explained,BOOKS_AND_REFERENCE,nan,2,,10+,Paid,$5.99,,Books & Reference,"November 2, 2016",Android 2.1 - 2015,1.6 and up,
CZ-52 pistol explained,BOOKS_AND_REFERENCE,nan,0,,10+,Paid,$5.99,,Books & Reference,"September 3, 2015",Android 3.0 - 2015,1.6 and up,
CZ-27 pistol explained,BOOKS_AND_REFERENCE,nan,1,,10+,Paid,$5.99,,Books & Reference,"September 2, 2015",Android 3.0 - 2015,1.6 and up,
CZ-45 pistol explained,BOOKS_AND_REFERENCE,nan,1,,10+,Paid,$5.49,,Books & Reference,"August 10, 2017",Android 3.1 - 2015,1.6 and up,
Pistolet CZ-70 CZ-50 expliqué,BOOKS_AND_REFERENCE,nan,0,,1+,Paid,$5.99,,Books & Reference,"November 1, 2016",Android 2.0 - 2016,1.6 and up,
CZ-38 (vz 38) pistol explained,BOOKS_AND_REFERENCE,nan,0,,5+,Paid,$5.99,,Books & Reference,"August 10, 2017",Android 3.1 - 2017,1.6 and up,
Reksio cz. 1,BOOKS_AND_REFERENCE,nan,0,,10+,Paid,$0.99,,Books & Reference,"March 30, 2015",1.0.1,4.0.3 and up,
ReDNAKET DB Normalization Tool,TOOLS,nan,0,,10+,Paid,$0.99,,Tools,"February 3, 2016",1.0.2,5.0 and up,
db Meter - sound level meter with data logging,TOOLS,nan,0,,1+,Paid,$1.49,,Tools,"March 15, 2018",1.0.1,4.1 and up,
D.C. Driving/Walking Tours,TRAVEL_AND_LOCAL,nan,0,,50+,Paid,$4.99,,Travel & Local,"July 27, 2018",3.8.0,4.4 and up,
Guide to Nikon Df,PHOTOGRAPHY,nan,1,,10+,Paid,$29.99,,Photography,"February 18, 2014",2.0.0,4.0.3 and up,
Técnico Legislativo Câmara Legislativa DF,PRODUCTIVITY,nan,1,,10+,Paid,$2.99,,Productivity,"June 29, 2018",6.0,4.0.3 and up,
Cargo de Praça PM DF,PRODUCTIVITY,nan,0,,10+,Paid,$2.99,,Productivity,"May 7, 2018",3.0,4.0 and up,
Diseño de columnas NTC - RSEE 2017,PRODUCTIVITY,nan,6,,100+,Paid,$0.99,,Productivity,"March 26, 2018",2.0,4.1 and up,
DK Primrose for KLWP,PERSONALIZATION,nan,0,,1+,Paid,$0.99,,Personalization,"December 2, 2017",v2017.Dec.01.19,4.4 and up,
DM Die Roller 9000,TOOLS,nan,0,,5+,Paid,$0.99,,Tools,"May 14, 2018",1.2,2.1 and up,
Cossack Dictionary (DN),BOOKS_AND_REFERENCE,nan,7,,10+,Paid,$2.99,,Books & Reference,"April 28, 2018",1.0,4.0.3 and up,
MC.Fitting,PRODUCTIVITY,nan,130,,"1,000+",Paid,$8.49,,Productivity,"May 3, 2017",12.0,1.6 and up,
Ability DS UNO,PRODUCTIVITY,nan,3,,50+,Paid,$2.60,,Productivity,"May 19, 2014",1.0,1.5 and up,
KeePass DX Pro,TOOLS,nan,0,,100+,Paid,$5.99,,Tools,"August 2, 2018",Varies with device,Varies with device,
Bubble Shooter DX AdFree,FAMILY,nan,1,,50+,Paid,$2.99,,Casual,"May 31, 2016",1.02,2.3 and up,
iCluster - The DX-Cluster database,COMMUNICATION,nan,0,,10+,Paid,$0.99,,Communication,"July 26, 2018",1.7,6.0 and up,
DZ Puzzle,FAMILY,nan,14,,10+,Paid,$0.99,,Puzzle,"April 22, 2017",1.2,2.3 and up,
amm dz,FINANCE,nan,0,,1+,Paid,$5.99,,Finance,"July 8, 2018",1.0,4.2 and up,
Dz kayas,FINANCE,nan,0,,1+,Paid,$28.99,,Finance,"July 12, 2018",1.0,4.2 and up,
Schlaumeier,BOOKS_AND_REFERENCE,nan,0,,5+,Paid,$0.99,,Books & Reference,"June 17, 2015",0.1,2.3 and up,
EF Lens Simulator,PHOTOGRAPHY,nan,2,,100+,Paid,$9.99,,Photography,"February 27, 2017",2.8.3.1,2.2 and up,
EG | Explore Folegandros,TRAVEL_AND_LOCAL,nan,0,,0+,Paid,$3.99,,Travel & Local,"January 22, 2017",1.1.1,4.1 and up,
Vital Tones EI Pro,HEALTH_AND_FITNESS,nan,2,,50+,Paid,$9.99,,Health & Fitness,"December 1, 2017",1.4,4.0 and up,
Monastery of El Escorial,TRAVEL_AND_LOCAL,nan,12,,"1,000+",Paid,$1.99,,Travel & Local,"May 30, 2016",1.0,4.0 and up,
EO Guide,HEALTH_AND_FITNESS,nan,15,,"1,000+",Paid,$4.99,,Health & Fitness,"July 23, 2018",1.0.4,4.1 and up,
Masha and the Bear- House Cleaning Games for Girls,FAMILY,nan,0,,100+,Paid,$1.99,,Educational;Pretend Play,"January 25, 2018",0.0.1,4.1 and up,
Masha and the Bear - Hair Salon and MakeUp Games,FAMILY,nan,1,,100+,Paid,$2.49,,Role Playing;Education,"March 5, 2018",1.0.1,4.1 and up,
O Céu e o Inferno,BOOKS_AND_REFERENCE,nan,14,,500+,Paid,$0.99,,Books & Reference,"October 7, 2013",1.1,1.6 and up,
EP McGuffey Primer,FAMILY,nan,0,,50+,Paid,$1.99,,Education,"July 16, 2018",Varies with device,Varies with device,
EP Calipers,MEDICAL,nan,4,,100+,Paid,$0.99,,Medical,"February 10, 2018",2.12,4.0 and up,
EP Coding,MEDICAL,nan,0,,50+,Paid,$0.99,,Medical,"October 5, 2017",1.6,4.0 and up,
EP Cook Book,MEDICAL,nan,0,,0+,Paid,$200.00,,Medical,"July 26, 2015",1.0,3.0 and up,
Lean EQ,BUSINESS,nan,6,,10+,Paid,$89.99,,Business,"February 14, 2017",1.0,4.1 and up,
Eu sou Rico,FINANCE,nan,0,,0+,Paid,$30.99,,Finance,"January 9, 2018",1.0,4.0 and up,
EU RCD Guide,BOOKS_AND_REFERENCE,nan,0,,10+,Paid,$3.61,,Books & Reference,"June 29, 2016",2.0,4.0 and up,
Eu Sou Rico,FINANCE,nan,0,,0+,Paid,$394.99,,Finance,"July 11, 2018",1.0,4.0.3 and up,
IF YOU TO EU PEGO,FAMILY,nan,3,,100+,Paid,$1.26,,Entertainment,"January 12, 2012",3,2.1 and up,
I'm Rich/Eu sou Rico/أنا غني/我很有錢,LIFESTYLE,nan,0,,0+,Paid,$399.99,,Lifestyle,"December 1, 2017",MONEY,4.1 and up,
EX File Explorer File Manage Pro,PRODUCTIVITY,nan,1,,50+,Paid,$1.99,,Productivity,"August 6, 2017",1.0,4.0 and up,
FJ Toolkit,TOOLS,nan,1,,100+,Paid,$1.49,,Tools,"December 21, 2015",14,4.0 and up,
FN pistol Model 1906 explained,BOOKS_AND_REFERENCE,nan,1,,10+,Paid,$5.49,,Books & Reference,"March 9, 2017",Android 3.0 - 2017,1.6 and up,
FN pistol model 1903 explained,BOOKS_AND_REFERENCE,nan,1,,10+,Paid,$6.49,,Books & Reference,"September 5, 2015",Android 3.0 - 2015,1.6 and up,
"The FN ""Baby"" pistol explained",BOOKS_AND_REFERENCE,nan,1,,10+,Paid,$5.99,,Books & Reference,"September 6, 2015",Android 3.0 - 2015,1.6 and up,
FN FAL rifle explained,BOOKS_AND_REFERENCE,nan,1,,10+,Paid,$6.49,,Books & Reference,"September 6, 2015",Android 3.0 - 2015,1.6 and up,
The FN HP pistol explained,BOOKS_AND_REFERENCE,nan,1,,10+,Paid,$6.49,,Books & Reference,"September 6, 2015",Android 3.0 - 2015,1.6 and up,
FN model 1900 pistol explained,BOOKS_AND_REFERENCE,nan,0,,10+,Paid,$6.49,,Books & Reference,"September 5, 2015",Android 3.0 - 2015,1.6 and up,
Pistolet FN GP35 expliqué,BOOKS_AND_REFERENCE,nan,2,,5+,Paid,$5.99,,Books & Reference,"August 19, 2014",Android 2.0 - 2014,1.6 and up,
Pistolet FN 1906 expliqué,BOOKS_AND_REFERENCE,nan,0,,10+,Paid,$5.49,,Books & Reference,"August 17, 2014",Android 2.0 - 2014,1.6 and up,
FP VoiceBot,FAMILY,nan,17,,100+,Paid,$0.99,,Entertainment,"November 25, 2015",1.2,2.1 and up,
Word Search Tab 1 FR,FAMILY,nan,0,,50+,Paid,$1.04,,Puzzle,"February 6, 2012",1.1,3.0 and up,
