App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
Delta Dental,MEDICAL,3.0,914,,"100,000+",Free,0.0,3,Medical,"July 17, 2018",4.6.0,5.0 and up,3
Brilliant Distinctions®,MEDICAL,2.8,78,,"50,000+",Free,0.0,3,Medical,"June 27, 2018",2.2.12,4.4 and up,3
MDLIVE: Talk to a Doctor 24/7,MEDICAL,3.4,650,,"100,000+",Free,0.0,3,Medical,"July 23, 2018",4.23.0,4.4 and up,3
Dexcom G6,MEDICAL,3.0,45,,"5,000+",Free,0.0,3,Medical,"July 16, 2018",1.2.3.2,6.0 and up,3
Tinnitus Alleviator,MEDICAL,3.1,82,,"5,000+",Free,0.0,3,Medical,"December 23, 2017",1.6.17,4.1 and up,3
Dialysis of Drugs,MEDICAL,2.9,92,,"10,000+",Free,0.0,3,Medical,"June 15, 2018",3.1-2018 – (13),4.0 and up,3
abeoCoder,MEDICAL,3.1,83,,"10,000+",Free,0.0,3,Medical,"July 30, 2018",6.6,4.1 and up,3
Exposure Ed,MEDICAL,3.0,2,,500+,Free,0.0,3,Medical,"July 17, 2018",1.2.9,4.4 and up,3
Anthem BC Anywhere,MEDICAL,2.6,496,,"100,000+",Free,0.0,3,Medical,"July 27, 2018",8.0.226,4.4 and up,3
Anthem Anywhere,MEDICAL,2.7,2657,,"500,000+",Free,0.0,3,Medical,"July 27, 2018",8.0.226,4.4 and up,3
fred's Pharmacy,MEDICAL,3.0,315,,"100,000+",Free,0.0,3,Medical,"October 10, 2017",1.0.02,4.0 and up,3
ConnectLine,MEDICAL,3.1,253,,"50,000+",Free,0.0,3,Medical,"September 12, 2016",1.3.4,2.3.3 and up,3
Patient Portal,MEDICAL,2.8,66,,"50,000+",Free,0.0,3,Medical,"October 25, 2016",1.0,4.0.3 and up,3
"Jingdong - pick good things, go to Jingdong",SHOPPING,3.3,9189,,"1,000,000+",Free,0.0,3,Shopping,"August 1, 2018",7.0.14,4.0 and up,3
Moto Photo Editor,PHOTOGRAPHY,3.3,3492,,"5,000,000+",Free,0.0,3,Photography,"June 14, 2018",1.5.3.8,7.0 and up,3
NUsport,SPORTS,3.3,1391,,"100,000+",Free,0.0,3,Sports,"May 4, 2018",Varies with device,Varies with device,3
NBC Sports,SPORTS,3.1,78442,,"5,000,000+",Free,0.0,3,Sports,"June 22, 2018",5.12.4,4.1 and up,3
NBC Sports Gold,SPORTS,2.9,3017,,"100,000+",Free,0.0,3,Sports,"July 2, 2018",3.7,4.1 and up,3
PGA TOUR LIVE,SPORTS,3.4,1845,,"100,000+",Free,0.0,3,Sports,"June 7, 2017",1.3.0,4.2 and up,3
Allegiant,TRAVEL_AND_LOCAL,3.1,5572,,"1,000,000+",Free,0.0,3,Travel & Local,"July 12, 2018",5.16.1,4.4 and up,3
JAL (Domestic and international flights),TRAVEL_AND_LOCAL,3.4,2277,,"1,000,000+",Free,0.0,3,Travel & Local,"May 7, 2018",4.4.7,4.0.3 and up,3
"HSL - Tickets, route planner and information",TRAVEL_AND_LOCAL,3.3,256,,"100,000+",Free,0.0,3,Travel & Local,"August 1, 2018",1.1.2,5.0 and up,3
VZ Navigator for Galaxy S4,TRAVEL_AND_LOCAL,3.0,2750,,"5,000,000+",Free,0.0,3,Travel & Local,"January 22, 2018",10.7.8.111,4.2 and up,3
SNCF,TRAVEL_AND_LOCAL,3.4,15750,,"5,000,000+",Free,0.0,3,Travel & Local,"August 2, 2018",Varies with device,Varies with device,3
Zagat,TRAVEL_AND_LOCAL,3.1,2528,,"100,000+",Free,0.0,3,Travel & Local,"July 14, 2016",Varies with device,Varies with device,3
My Telcel,TOOLS,3.1,45838,,"50,000,000+",Free,0.0,3,Tools,"July 25, 2018",7.6.1,4.1 and up,3
iWnn IME for Nexus,TOOLS,3.2,2394,,"5,000,000+",Free,0.0,3,Tools,"November 13, 2014",Varies with device,Varies with device,3
Clear,TOOLS,3.1,24151,,"10,000,000+",Free,0.0,3,Tools,"August 6, 2018",11.7.0,4.1 and up,3
Google app for Android TV,TOOLS,3.0,66,,"10,000,000+",Free,0.0,3,Tools,"July 19, 2018",Varies with device,Varies with device,3
HTC Sense Input,TOOLS,3.4,17030,,"10,000,000+",Free,0.0,3,Tools,"May 12, 2017",Varies with device,Varies with device,3
App vault,TOOLS,3.4,25094,,"10,000,000+",Free,0.0,3,Tools,"July 18, 2018",Varies with device,Varies with device,3
HTC Sense Input-CA,TOOLS,3.1,124,,"100,000+",Free,0.0,3,Tools,"April 22, 2014",9.7.753080,4.1 and up,3
My Claro Peru,PRODUCTIVITY,3.2,11200,,"5,000,000+",Free,0.0,3,Productivity,"July 23, 2018",3.1.1,4.4 and up,3
HTC Mail,PRODUCTIVITY,3.1,6572,,"10,000,000+",Free,0.0,3,Productivity,"May 29, 2018",Varies with device,Varies with device,3
G Guide Program Guide (SOFTBANK EMOBILE WILLCOM version),VIDEO_PLAYERS,3.1,2689,,"1,000,000+",Free,0.0,3,Video Players & Editors,"July 18, 2018",Varies with device,Varies with device,3
Casper Ssinema,VIDEO_PLAYERS,3.3,1261,,"10,000+",Free,0.0,3,Video Players & Editors,"October 30, 2014",1.0,2.3 and up,3
Asahi Shimbun Digital,NEWS_AND_MAGAZINES,3.1,735,,"500,000+",Free,0.0,3,News & Magazines,"July 25, 2018",6.3.0,4.0.3 and up,3
Apple Daily Apple News,NEWS_AND_MAGAZINES,3.4,41490,,"5,000,000+",Free,0.0,3,News & Magazines,"July 24, 2018",4.6.0,4.1 and up,3
Create A Superhero HD,FAMILY,3.3,8642,,"500,000+",Free,0.0,3,Casual,"December 30, 2017",4.0.4,2.3 and up,3
Draw A Stickman,GAME,3.4,29265,,"1,000,000+",Free,0.0,3,Adventure,"May 19, 2017",1.1.0,4.0.3 and up,3
Cardi B Piano Game,GAME,3.1,50,,"10,000+",Free,0.0,3,Music,"November 15, 2017",2.0,4.0 and up,3
B.GOOD,FOOD_AND_DRINK,2.9,155,,"10,000+",Free,0.0,3,Food & Drink,"April 4, 2018",4.94.19,4.1 and up,3
B-Dubs®,LIFESTYLE,3.1,3042,,"500,000+",Free,0.0,3,Lifestyle,"July 5, 2018",Varies with device,Varies with device,3
Oral-B App,HEALTH_AND_FITNESS,3.3,14210,,"1,000,000+",Free,0.0,3,Health & Fitness,"July 19, 2018",6.0.1,5.0 and up,3
Plan B,MAPS_AND_NAVIGATION,3.3,19,,"5,000+",Free,0.0,3,Maps & Navigation,"July 12, 2017",1.2,4.3 and up,3
Broken Screen Prank,FAMILY,3.3,23682,,"1,000,000+",Free,0.0,3,Casual,"June 14, 2018",6.2,4.0 and up,3
E!,FAMILY,3.1,740,,"100,000+",Free,0.0,3,Entertainment,"May 24, 2018",3.3.1.41,4.4 and up,3
Moto LED for Moto X & E [Root],LIFESTYLE,3.4,4082,,"500,000+",Free,0.0,3,Lifestyle,"October 16, 2014",1.0,4.2 and up,3
R+F PULSE,BUSINESS,3.4,58,,"10,000+",Free,0.0,3,Business,"April 21, 2017",1.0,4.4 and up,3
G-SHOCK+,LIFESTYLE,3.0,4710,,"100,000+",Free,0.0,3,Lifestyle,"November 1, 2017",Varies with device,Varies with device,3
G-SHOCK Connected,LIFESTYLE,3.0,543,,"50,000+",Free,0.0,3,Lifestyle,"July 2, 2018",1.4.1(0629A),5.0 and up,3
G-Homa,LIFESTYLE,3.1,777,,"50,000+",Free,0.0,3,Lifestyle,"May 4, 2018",3.0.20,4.0 and up,3
HPlus,HEALTH_AND_FITNESS,2.9,1786,,"100,000+",Free,0.0,3,Health & Fitness,"June 12, 2018",3.5.2,4.4 and up,3
H Band 2.0,HEALTH_AND_FITNESS,2.9,4031,,"500,000+",Free,0.0,3,Health & Fitness,"June 15, 2018",3.0.2,4.4 and up,3
Ohio State Fair 4-H,FAMILY,3.0,4,,"1,000+",Free,0.0,3,Entertainment,"February 7, 2018",3.0.1,4.1 and up,3
Larry H Miller Automotive,PRODUCTIVITY,3.1,67,,"10,000+",Free,0.0,3,Productivity,"July 18, 2018",3.5.3,4.0.3 and up,3
How Old am I?,FAMILY,2.8,4635,,"1,000,000+",Free,0.0,3,Entertainment,"January 1, 2018",1.7,4.0 and up,3
How Do I Look,PHOTOGRAPHY,2.7,3032,,"500,000+",Free,0.0,3,Photography,"December 8, 2017",1.3,3.0 and up,3
J-Novel Club,FAMILY,3.3,162,,"10,000+",Free,0.0,3,Entertainment,"October 22, 2017",1.2,4.1 and up,3
Mali J,SOCIAL,3.2,185,,"10,000+",Free,0.0,3,Social,"October 20, 2017",1.0.1,4.1 and up,3
Lie Detector,FAMILY,3.1,306,,"50,000+",Free,0.0,3,Simulation,"April 4, 2017",1.2.1,4.0.3 and up,3
M-Sight Pro,VIDEO_PLAYERS,3.3,30,,"5,000+",Free,0.0,3,Video Players & Editors,"July 25, 2018",3.1.0.1-r4,4.0 and up,3
m:go BiH,COMMUNICATION,3.2,559,,"10,000+",Free,0.0,3,Communication,"July 25, 2018",3.4,3.0 and up,3
Cook'n Recipe App,LIFESTYLE,3.4,552,,"10,000+",Free,0.0,3,Lifestyle,"August 2, 2018",3.0.4,4.4 and up,3
N-Com Wizard,COMMUNICATION,3.3,960,,"50,000+",Free,0.0,3,Communication,"September 21, 2017",2.1.2,2.3.3 and up,3
Shop 'n Save,SHOPPING,3.4,620,,"100,000+",Free,0.0,3,Shopping,"March 13, 2018",2.2.8,4.1 and up,3
Android P 9.0,PERSONALIZATION,3.0,12,,500+,Free,0.0,3,Personalization,"May 30, 2018",2.0,4.0.3 and up,3
The Q - Live Trivia Game Network,GAME,2.7,1486,,"100,000+",Free,0.0,3,Trivia,"August 3, 2018",2.4.8,5.0 and up,3
Fossil Q,LIFESTYLE,2.9,6627,,"500,000+",Free,0.0,3,Lifestyle,"August 1, 2018",2.5.1,4.4 and up,3
Q MINDshare Mobile,BUSINESS,3.4,24,,"10,000+",Free,0.0,3,Business,"April 2, 2018",Varies with device,Varies with device,3
Fossil Q Legacy,LIFESTYLE,2.6,680,,"50,000+",Free,0.0,3,Lifestyle,"September 19, 2017",1.0.1,4.4 and up,3
Q-See QC View,TOOLS,3.1,657,,"100,000+",Free,0.0,3,Tools,"January 19, 2018",3.49.0202,4.0.3 and up,3
Leica Q,PHOTOGRAPHY,3.1,133,,"10,000+",Free,0.0,3,Photography,"May 8, 2018",1.0.2.1,4.0 and up,3
Car Parking Nissan GT-R R35 Simulator,FAMILY,3.2,513,,"100,000+",Free,0.0,3,Simulation,"December 5, 2017",1.0,4.0 and up,3
R-net for Android,PRODUCTIVITY,3.3,48,,"5,000+",Free,0.0,3,Productivity,"August 7, 2013",1.0,3.1 and up,3
AT&T Messages for Tablet,COMMUNICATION,3.3,3044,,"1,000,000+",Free,0.0,3,Communication,"April 3, 2017",Varies with device,Varies with device,3
T-Mobile DIGITS,COMMUNICATION,3.0,1820,,"100,000+",Free,0.0,3,Communication,"February 15, 2018",1.1.50,4.4 and up,3
DIRECTV Remote App,FAMILY,3.0,480,,"1,000,000+",Free,0.0,3,Entertainment,"August 31, 2017",2.40,6.0 and up,3
T-Mobile® FamilyMode™,PARENTING,3.1,103,,"10,000+",Free,0.0,3,Parenting,"June 29, 2018",1.0.2-alpha4,4.4 and up,3
AT&T DriveMode,MAPS_AND_NAVIGATION,3.3,8465,,"10,000,000+",Free,0.0,3,Maps & Navigation,"May 3, 2018",1.0.4.3,4.1 and up,3
U-Haul,TRAVEL_AND_LOCAL,3.2,852,,"100,000+",Free,0.0,3,Travel & Local,"July 31, 2018",2.2.1,4.4 and up,3
U-Scan,TOOLS,3.4,784,,"50,000+",Free,0.0,3,Tools,"September 29, 2016",1.2.6 (94),2.2 and up,3
Octo U: Your driving companion,TRAVEL_AND_LOCAL,3.0,331,,"50,000+",Free,0.0,3,Travel & Local,"March 13, 2018",1.1.47,4.3 and up,3
U Pull It Auto Dismantler,BUSINESS,3.1,71,,"10,000+",Free,0.0,3,Business,"May 14, 2013",1.0,1.6 and up,3
Wii U Simulator,FAMILY,3.4,1178,,"100,000+",Free,0.0,3,Simulation,"April 8, 2018",1.0.1,5.0 and up,3
U Guard,TOOLS,3.0,245,,"10,000+",Free,0.0,3,Tools,"August 31, 2016",1.1.6.6,2.3 and up,3
[verify-U] VideoIdent,COMMUNICATION,2.9,83,,"10,000+",Free,0.0,3,Communication,"April 26, 2018",2.4.0,5.0 and up,3
SAY-U,FAMILY,3.2,1011,,"100,000+",Free,0.0,3,Entertainment,"July 13, 2018",Varies with device,4.1 and up,3
Mod GTA V for MCPE,FAMILY,3.3,4288,,"500,000+",Free,0.0,3,Entertainment,"April 23, 2018",1.2.3.4.5,4.0.3 and up,3
V.360° Camera,PHOTOGRAPHY,3.3,582,,"100,000+",Free,0.0,3,Photography,"September 11, 2015",1.1.6,4.4 and up,3
Nose Doctor X: Booger Mania,FAMILY,3.2,37584,,"5,000,000+",Free,0.0,3,Casual;Pretend Play,"August 31, 2016",1.0.8,4.1 and up,3
Xray Scanner Prank,FAMILY,3.3,355837,,"10,000,000+",Free,0.0,3,Entertainment,"December 7, 2016",14.0,2.3 and up,3
X-ray scanner simulator,FAMILY,2.7,1616,,"500,000+",Free,0.0,3,Casual,"January 8, 2017",7.0,2.1 and up,3
PLAYBULB X,LIFESTYLE,2.9,2160,,"100,000+",Free,0.0,3,Lifestyle,"June 25, 2018",1.6.5,4.3 and up,3
Z App,LIFESTYLE,2.8,405,,"50,000+",Free,0.0,3,Lifestyle,"June 22, 2018",4.2.45,4.4 and up,3
AB Mobile App,HEALTH_AND_FITNESS,3.4,2105,,"100,000+",Free,0.0,3,Health & Fitness,"August 21, 2017",2.1.0,4.0.3 and up,3
Smart Air Conditioner,TOOLS,3.3,4786,,"500,000+",Free,0.0,3,Tools,"May 24, 2018",1.2.84,2.2 and up,3
AC Remote Control,TOOLS,3.3,472,,"100,000+",Free,0.0,3,Tools,"October 17, 2017",1.3,4.1 and up,3
Air conditioner remote control,TOOLS,3.4,29854,,"1,000,000+",Free,0.0,3,Tools,"July 19, 2017",5.0,2.3 and up,3
A/C Air Conditioner Remote,TOOLS,3.4,7816,,"1,000,000+",Free,0.0,3,Tools,"July 30, 2016",1.1.1,3.0 and up,3
Smart Air Conditioner(CAC),TOOLS,3.2,409,,"50,000+",Free,0.0,3,Tools,"May 25, 2018",1.0.18,2.2 and up,3
TOSHIBA Smart AC,TOOLS,2.6,60,,"10,000+",Free,0.0,3,Tools,"August 4, 2018",2.1.20180804_01,4.0.3 and up,3
Trane Interactive Smart AC,TOOLS,2.8,48,,"10,000+",Free,0.0,3,Tools,"April 21, 2016",0.0.2,4.3 and up,3
A/C Universal Remote Control,TOOLS,3.1,3263,,"1,000,000+",Free,0.0,3,Tools,"May 16, 2017",1.17,3.0 and up,3
LG AC Smart Diagnosis,LIFESTYLE,3.4,377,,"100,000+",Free,0.0,3,Lifestyle,"March 21, 2017",1.1.4,4.0 and up,3
AC Remote Control Simulator,FAMILY,3.3,353,,"100,000+",Free,0.0,3,Entertainment,"December 4, 2017",1.0,4.0.3 and up,3
AC Mobile Control,HOUSE_AND_HOME,3.4,1450,,"100,000+",Free,0.0,3,House & Home,"November 5, 2013",2.4,2.2 and up,3
AC Remote For LG,TOOLS,3.0,1298,,"100,000+",Free,0.0,3,Tools,"February 20, 2018",1.0,4.0 and up,3
Universal AC Remote Control Simulator,FAMILY,3.0,119,,"50,000+",Free,0.0,3,Entertainment,"December 22, 2017",1.0,4.0 and up,3
Ad Block REMOVER - NEED ROOT,TOOLS,3.3,999,,"100,000+",Free,0.0,3,Tools,"December 17, 2013",3.2,2.2 and up,3
Emo Ads Blocker Browser,TOOLS,3.4,1555,,"100,000+",Free,0.0,3,Tools,"September 17, 2015",1.4,3.0 and up,3
AF Comics Reader - Free,COMICS,2.8,5,,100+,Free,0.0,3,Comics,"November 10, 2017",1.0,4.1 and up,3
DSLR camera - Auto Focus and Blur Professional,PHOTOGRAPHY,3.4,30,,"10,000+",Free,0.0,3,Photography,"April 18, 2018",5.1.2,4.0.3 and up,3
DSLR Blur Camera Auto Focus,TOOLS,3.3,75,,"10,000+",Free,0.0,3,Tools,"June 7, 2018",1.3,4.0.3 and up,3
EZ Ag Mobile,FINANCE,3.4,19,,"5,000+",Free,0.0,3,Finance,"August 12, 2017",9.0.00,3.0 and up,3
VR AG Racing for Cardboard,GAME,3.4,13,,"1,000+",Free,0.0,3,Racing,"September 29, 2016",1.1,4.1 and up,3
AH Connect (Adventist Health),HEALTH_AND_FITNESS,3.4,5,,"1,000+",Free,0.0,3,Health & Fitness,"January 23, 2018",3.5.1,4.4 and up,3
WoW AH Tracker,TOOLS,2.9,33,,"10,000+",Free,0.0,3,Tools,"July 23, 2018",Varies with device,Varies with device,3
The Ah Yeah! Button,FAMILY,3.0,30,,"5,000+",Free,0.0,3,Entertainment,"October 1, 2013",1.2,2.3 and up,3
Brandon Lakes AH,MEDICAL,2.6,5,,100+,Free,0.0,3,Medical,"May 5, 2017",300000.0.79,4.0.3 and up,3
Ah! Coins,GAME,3.4,256,,"50,000+",Free,0.0,3,Action,"December 8, 2016",1.0.0,2.3 and up,3
Ai illustrator viewer,ART_AND_DESIGN,3.4,486,,"100,000+",Free,0.0,3,Art & Design,"July 26, 2018",5.7,5.0 and up,3
AI Face Beauty Analysis - IntelliFace (Free),BEAUTY,3.1,40,,"10,000+",Free,0.0,3,Beauty,"April 11, 2018",20,4.1 and up,3
Tomo A.i. Pet Chat Bot,FAMILY,3.3,40,,"1,000+",Free,0.0,3,Entertainment,"May 15, 2017",1.0,4.0.3 and up,3
Chat With Artificial Intelligence,FAMILY,3.2,32,,"1,000+",Free,0.0,3,Entertainment,"May 10, 2018",1.0,4.0 and up,3
ChatBolo - AI Chatbot Online,FAMILY,3.3,1407,,"100,000+",Free,0.0,3,Entertainment,"September 25, 2015",2.1,2.2 and up,3
Turbo AI™ - Personal assistant,PRODUCTIVITY,2.6,91,,"5,000+",Free,0.0,3,Productivity,"July 16, 2018",0.0.52,4.0.3 and up,3
Club Penguin Island,FAMILY,2.8,107441,,"1,000,000+",Free,0.0,3,Casual;Action & Adventure,"July 10, 2018",1.10.5,4.4 and up,3
AJ Bell Youinvest,FINANCE,2.8,135,,"10,000+",Free,0.0,3,Finance,"June 4, 2018",2.13.0.65,4.4 and up,3
Baby Game Animal Jam Free,GAME,2.8,9,,500+,Free,0.0,3,Board,"March 24, 2017",1.0,2.3 and up,3
Weapon AK-74 Live Wallpaper,PERSONALIZATION,3.3,25,,"1,000+",Free,0.0,3,Personalization,"March 28, 2017",1.2,4.0.3 and up,3
Shoot M-16 vs AK-47 : realistic weapon simulator,FAMILY,3.0,2,,100+,Free,0.0,3,Simulation,"July 18, 2018",1.0,4.1 and up,3
AL.com,NEWS_AND_MAGAZINES,3.4,803,,"50,000+",Free,0.0,3,News & Magazines,"July 23, 2018",3.7.10-0d44b899,4.1 and up,3
Scanning body and undressing people,FAMILY,3.4,1012,,"100,000+",Free,0.0,3,Entertainment,"February 24, 2018",2.0,3.0 and up,3
3D Holograms Joke,FAMILY,2.9,31596,,"5,000,000+",Free,0.0,3,Simulation,"December 23, 2016",1.5,2.3 and up,3
Body scanner (prank),FAMILY,3.3,16063,,"1,000,000+",Free,0.0,3,Casual,"June 2, 2016",3.0,2.3 and up,3
AP Planner,FAMILY,2.9,45,,"5,000+",Free,0.0,3,Education,"August 3, 2015",1.1,2.1 and up,3
eChallan Andhra Pradesh (AP),SOCIAL,3.0,5,,"1,000+",Free,0.0,3,Social,"February 15, 2018",1.0.0.4,4.1 and up,3
ClanHQ,COMMUNICATION,2.7,560,,"10,000+",Free,0.0,3,Communication,"July 25, 2018",1.0.21,4.4 and up,3
AR Remote Car,FAMILY,3.2,1354,,"100,000+",Free,0.0,3,Simulation,"August 12, 2017",2.14,4.0 and up,3
